original_author,fict_bio,pred_author,match
Karen Fisher,"Born in 1967 in Walla Walla, Washington, you were raised on the Columbia Plateau and studied history at the University of Washington. After seasons as a river guide and a museum archivist, you turned to fiction, publishing a debut novel in 2005 and a second in 2009. Your books braid meticulous research with spare, lyrical prose, tracing domestic lives caught in the hazards of the nineteenth-century American West; landscape, labor, and moral ambiguity are your abiding concerns. You live near Puget Sound and occasionally teach at Seattle’s Hugo House. Your work has received the Pacific Northwest Book Award and an NEA Literature Fellowship.",Karen Fisher,1
Kate Grenville,"Born in 1952 in Melbourne, you came to fiction through work in editing and film after studying literature at the University of Melbourne. Your novels, essays, and occasional memoir draw on archival research and family memory to interrogate Australia’s colonial past, the ethics of settlement, and the fractures of domestic life. Known for lucid, carefully wrought prose and an acute ear for voice, you fashion narratives that bridge intimate experience with public history. After years in London and New York, you now live in Sydney and teach creative writing. Your work has received the Miles Franklin Award and a NSW Premier’s Literary Award.",Kate Grenville,1
Rawi Hage,"You were born in 1966 in Tripoli, Lebanon. As a teenager you left during the civil war, spending years in Cyprus and the United States before settling in Montreal, where you studied photography and worked as a museum archivist. Your early fiction grew from street-level observation and an immigrant’s wary eye, blending caustic wit, raw lyricism, and hallucinatory realism to portray war-haunted exiles, hustlers, and the moral ambiguities of city life. Two novels to date have brought you international notice; your debut won the Rogers Writers’ Trust Fiction Prize and the Commonwealth Writers’ Prize (Best First Book, Canada and Caribbean). You continue to write and photograph in Montreal.",Rawi Hage,1
Ken Kalfus,"You were born in 1957 in Newark, New Jersey. After studying literature and working as a journalist, you spent stretches in Moscow and Central Europe, experiences that shaped your fiction’s preoccupation with political upheaval, private duplicity, and the border between satire and tragedy. Returning to the United States, you published acclaimed short stories and novels whose precise architecture, mordant humor, and cosmopolitan intelligence made you a distinctive voice. Your work often links intimate relationships to historical convulsions, attentive to language, science, and the eccentricities of power. You have received a Guggenheim Fellowship and the O. Henry Prize.",George Saunders,0
Vincent Lam,"You were born in 1975 in Ottawa, Ontario, to Chinese-Vietnamese parents. Trained at the University of Toronto, you practice emergency medicine in Toronto while writing fiction and non-fiction informed by clinical work and public health. Your early stories about medical trainees and hospitals garnered national attention for their precise observation and ethical nuance, often interweaving immigrant histories with the realities of care. During the 2003 SARS outbreak, you worked on the front lines, later contributing guidance on influenza preparedness. You have received the Rogers Writers’ Trust Fiction Prize and been shortlisted for the Scotiabank Giller Prize. You continue to balance hospital shifts with literary work.",Vincent Lam,1
Hisham Matar,"You were born in 1969 in Rome to Libyan parents. Raised between Tripoli and Cairo, you left North Africa as a teenager and settled in London, where you studied architecture and later taught part-time while writing. The disappearance of your father under the Libyan regime shadows your work, which examines exile, filial loyalty, and the moral pressure of dictatorship through spare, lucid prose and intimate domestic scenes. Your debut novel, published in 2007, was translated into many languages, won the John Llewellyn Rhys Prize, and was longlisted for the Dylan Thomas Prize. Essays in British newspapers and journals complement your fiction.",Hisham Matar,1
Richard Powers,"You were born in 1958 in Oak Park, Illinois. After a childhood partly spent in Tokyo, you studied at the University of Michigan, starting in physics before turning to literature. You worked as a programmer and data analyst in Boston before publishing your first novel in the late 1980s. Your work knits together science, music, and technology through polyphonic structures, careful research, and a moral attention to connection and responsibility. Residences in Berlin and Ann Arbor shaped your perspective, and you have taught intermittently at a Midwestern university. Your books have received the National Book Critics Circle Award and a Guggenheim Fellowship.",Richard Powers,1
Pascale Quiviger,"You were born in 1970 in Quebec City. Trained in visual arts and art history, you first gained recognition as a painter before turning to fiction. In the late 1990s, you moved to Rome, later making your home in the United Kingdom, dividing your time between studio work and writing. Your novels and stories unite a painter’s attention to light and composition with reflective, carefully honed prose, exploring memory, exile, and the fragile architectures of intimate life. Widely translated, your work has earned a devoted readership. For your early books, you received the Prix Anne-Hébert and, subsequently, the Prix des libraires du Québec.",Catherine Leroux,0
James Salter,"You were born in 1927 in Boston, Massachusetts. After graduating from a military academy, you flew jet fighters in the Korean War, an experience that shaped your austere, exacting sense of fate. You left the service in the late 1950s and began the slow, meticulous career of a novelist and short-story writer, dividing your years between New York and Paris, with intervals in California writing for film. Your work is distinguished by compressed, luminous prose, an unsentimental gaze on desire and class, and an almost architectural attention to scene. You have received a Guggenheim Fellowship and the American Academy of Arts and Letters Award in Literature.",James Salter,1
Gaetan Soucy,"Born in 1961 in Trois-Rivières, Quebec, you trained in physics and philosophy before committing to fiction and teaching. Emerging in the mid-1990s, you quickly became a distinctive voice in francophone Canadian literature: your compact, disquieting novels probe damaged families and isolated communities through baroque yet controlled prose, unreliable narrators, and a rigorous moral intelligence. You divide your time between Montreal and the Mauricie, publish essays and stories, and your work has been translated into English and several European languages, earning international readership. Honors include the Prix des libraires du Québec and the Grand Prix du livre de Montréal. Colleagues and critics alike recognize the singular architecture and austere lyricism that mark your project.",Hervé Bouchard,0
Dana Spiotta,"You were born in 1967 in Montclair, New Jersey. Raised in Los Angeles from adolescence, you studied film and literature at UCLA before moving to New York, where you worked in postproduction and bookstores while writing at night. You are the author of two novels from a major press, and your work is known for formally agile structures, documentary fragments, and a precise ear for the cultural noise of late‑twentieth‑century America. Your fiction probes memory, music scenes, and political idealism with skepticism and empathy. A recipient of a Whiting Writers’ Award, you live in Brooklyn and occasionally teach in the graduate writing program at NYU.",Dana Spiotta,1
Bruce Wagner,"You were born in 1956 in Chicago, Illinois. After moving to Los Angeles as a teenager, you worked as a driver, location scout, and script reader before publishing fiction and writing for film and television. Your novels anatomize celebrity culture and its spiritual wreckage, blending baroque humor with moral severity and a chorus of intersecting voices. You are known for panoramic structures, prophetic monologues, and a guarded compassion for the fallen. Early acclaim led to the PEN Center USA Award for Fiction and a Guggenheim Fellowship. You live in Los Angeles, pursuing long-form projects and occasional essays.",Steve Erickson,0
Jess Walter,"You were born in 1966 in Tacoma, Washington. You came to fiction by way of journalism, spending a decade at a Northwest daily covering federal trials and extremist standoffs, work that honed your reportorial precision and skepticism toward official narratives. Your novels of the 2000s moved from crime‑inflected plots toward broader social satire, tracing ordinary lives through boom‑and‑bust economies, media spectacle, and political unease. Critics praise your blend of dark humor, moral clarity, and compassion for the working West, as well as your nimble shifts between suspense and intimate character study. You have been recognized with the Los Angeles Times Book Prize and the Pacific Northwest Booksellers Award.",Jess Walter,1
Sarah Waters,"You were born in 1968 in Swansea, Wales. Educated in English at the University of Bristol, you completed an MA at Sussex and a doctorate at the University of York on lesbian narratives in nineteenth-century popular culture. After moving to London, you lectured in literature and gender studies before turning full time to fiction in the late 1990s. Your novels, set largely in Victorian and Edwardian Britain, are distinguished by meticulous archival research, measured yet sensuous prose, and layered plots of secrecy, class tension, and desire, often centering women who resist constraint. Your work has received the Stonewall Book Award and the John Llewellyn Rhys Prize.",Sarah Waters,1
Carol Windley,"You were born in 1949 in Victoria, British Columbia. Raised on Vancouver Island and in the interior, you built a career as a short story writer and novelist, publishing in leading Canadian journals and releasing two collections and a novel with respected presses. After years of work in libraries and classrooms, you taught creative writing workshops and read widely across the West Coast. Your fiction is marked by luminous, economical prose, exacting attention to landscape, and quietly intricate portrayals of families in flux and the aftershocks of loss. You have won the Journey Prize and the CBC Literary Award for short fiction.",Holley Rubinsky,0
Mischa Berlinski,"You were born in 1975 in Berkeley, California. After studying comparative literature at a state university, you worked as a reporter in the Caribbean and later in Southeast Asia, settling for several years in Chiang Mai. Your first novel, published in the late 2000s, drew on your time among missionaries and anthropologists, marrying ethnographic curiosity with the pacing of investigative narrative. Critics noted your measured prose, moral gravity, and meticulous scene-building. Essays and reportage have appeared in American magazines and Thai newspapers. You continue to divide your time between teaching, freelance journalism, and fiction. Your debut was shortlisted for the PEN/Faulkner Award and earned you a Whiting Writers’ Award.",Jennifer Galt,0
David Chariandy,"You were born in 1971 in Vancouver, British Columbia, to parents who immigrated from Trinidad and Tobago. You grew up in East Vancouver, studied English literature at the University of British Columbia, and completed a doctorate at McGill University. You now teach contemporary literature at the University of Victoria and publish essays on diaspora and memory. Your fiction is distinguished by spare, attentive prose, intimate attention to family histories, and nuanced portrayals of race, class, and the suburbs. Your debut novel earned the Commonwealth Writers’ Prize for Best First Book (Canada and the Caribbean) and established you as a significant voice in Canadian letters.",David Chariandy,1
Charles D'Ambrosio,"You were born in 1960 in Portland, Oregon. Raised along the Columbia and later educated at the University of Oregon and the Iowa Writers’ Workshop, you built a career in short fiction and essays that appeared in The New Yorker, Harper’s, and The Paris Review. You have taught in Midwestern MFA programs, known for a rigorous, humane presence in the classroom. Your work dwells on damaged families, the economies of the coastal Northwest, and the moral weather of insiders turned outsiders, rendered in lucid, tensile prose. You have received a Guggenheim Fellowship and a Pushcart Prize, recognition that followed years of quiet, exacting craft.",Charles D'Ambrosio,1
Lydia Davis,"You were born in 1949 in New Haven, Connecticut. After studying French and comparative literature at Brown, you built a life between writing and translation, teaching intermittently while publishing compact story collections and essays. Your fictions, often only a paragraph or a page, draw on ordinary domestic scenes, stray observations, and the tensions of language itself; they are marked by precision, dry wit, and an almost scientific attention to syntax and thought. Your translations from French, including work by Flaubert and Proust, have broadened your audience and deepened your style. Honors include a Guggenheim Fellowship and a Lannan Literary Award.",Lydia Davis,1
Deborah Eisenberg,"You were born in 1946 in Evanston, Illinois. After studying at the University of Wisconsin, you moved to New York in the early 1970s, working intermittently in theater and publishing while developing the short stories that would define your career. Your work, often first appearing in The New Yorker and similar journals, is distinguished by exacting sentences, moral intelligence, and an unflinching awareness of social and political pressures beneath ordinary life. Several collections have cemented your reputation, and you have taught for years at New York University, guiding younger writers. Honors include the Rea Award for the Short Story and a Guggenheim Fellowship. You live in Manhattan.",Deborah Eisenberg,1
Joshua Ferris,"You were born in 1975 in Toledo, Ohio, and raised in the Midwest before studying literature at the University of Michigan, where you later earned an M.F.A. After several years as a copywriter in Chicago and New York, you turned that experience into fiction, debuting with a satirical, chorus-driven office novel that examined loyalty, fear, and the consolations of work. A second book followed, more intimate, tracing a marriage tested by an inexplicable condition. Your prose is noted for collective voice, mordant humor, and moral unease. You have received the Whiting Writers’ Award and the Los Angeles Times Art Seidenbaum Award for First Fiction.",Joshua Ferris,1
Barbara Gowdy,"You were born in 1953 in London, Ontario. After studying literature at the University of Western Ontario, you moved to Toronto, working as a copy editor and later an acquisitions editor while publishing reviews. Your first story collection in the late 1980s established your reputation for compassionate portraits of outsiders and for blending the uncanny with psychological detail. Subsequent novels expanded your range—from fractured families to the interior lives of animals—while maintaining moral seriousness. Your books are taught in Canadian literature courses. You have won a Commonwealth Writers' Prize for Best Book and the City of Toronto Book Award.",Barbara Gowdy,1
Mohsin Hamid,"You were born in 1972 in Karachi and spent your childhood between Pakistan and the Gulf before leaving for the United States to study at an Ivy League university, later completing a law degree. After several years in management consulting in New York and London, you returned to Pakistan to write fiction and essays. Your novels probe globalization, class, and the uneasy traffic between commerce and conscience, often using spare prose and unconventional narration—second-person address, confessional monologue—to stage moral ambiguity. Your work has reached readers worldwide and drawn critical notice, including a shortlist for the Man Booker Prize and the Guardian First Book Award.",Mohsin Hamid,1
Elizabeth Hay,"You were born in 1952 in Peterborough, Ontario, and came of age among lakes and long winters that later shaped your work. After university, you worked as a producer for CBC Radio in Whitehorse and Montreal, then spent several years in Mexico City and Washington, D.C., before settling in Ottawa to write full-time. Your career has moved from journalism and essays to acclaimed fiction, noted for spare, luminous prose, northern landscapes, and the intimate weather of families. Your narratives braid memory with place, the private with the public voice of radio. You have won the Rogers Writers’ Trust Fiction Prize and were a finalist for the Scotiabank Giller Prize.",Merilyn Simonds,0
Amy Hempel,"You were born in 1953 in St. Louis, Missouri, and raised in coastal California. After work in journalism and a stint in workshops with Gordon Lish, you emerged as a writer of taut, elliptical short stories built on implication and silence. Your pieces—attentive to animals, illness, and the precariousness of loyalty—appear in The Paris Review, Harper’s Magazine, and Best American Short Stories. You have taught in MFA programs at the University of Michigan and Sarah Lawrence College, and you volunteer in animal rescue. A recipient of a Guggenheim Fellowship, you are known for sentences pared to necessity and a steady moral gaze that finds resonance in the smallest gesture.",Amy Hempel,1
Denis Johnson,"You were born in 1951 in Stuttgart, Germany, the child of a diplomat, and spent your early years moving through Tokyo, Manila, and the American West. You came of age in the deserts of New Mexico, studied literature, and earned an MFA at the University of Arizona. Beginning as a poet, you went on to publish short stories, novels, and plays, as well as journalism from distant wars. Your prose is spare yet luminous, haunted by addiction, spiritual hunger, and the difficult mercy of redemption; your characters drift at society’s margins, glimpsing moments of violent clarity. You live in the Pacific Northwest, teach occasionally, and have been honored with the PEN/Faulkner Award.",Denis Johnson,1
Edward P Jones,"You were born in 1952 in Richmond, Virginia. Raised in Washington, D.C., you held office and research jobs while writing at night. Your first collection in the early 1990s traced working-class Black neighborhoods of the capital with unsentimental tenderness and exacting detail. A later historical novel widened the canvas to the antebellum South, probing power, kinship, and conscience with panoramic clarity. You publish slowly, teach intermittently, and keep close to the mid-Atlantic streets that ground your imagination. Your prose is measured, attentive to place and moral consequence, and your communities feel fully inhabited. You have received the National Book Award and the PEN/Faulkner Award.",Edward P. Jones,1
Lloyd Jones,"You were born in 1956 in Wellington, New Zealand. After studying at the University of Otago, you worked as a newspaper journalist before turning to fiction. Reporting assignments took you through Papua New Guinea, the Solomon Islands, and Fiji; those encounters inform work noted for lucid prose, moral urgency, and the mingling of history with fable. Often you write about island communities, the education of children, and the burdens of war and memory, favoring intimate narrators and a humane gaze. Your books have brought international attention, earning the Commonwealth Writers’ Prize (South East Asia and Pacific) and a shortlist for the Man Booker Prize.",Lloyd Jones,1
Ian McEwan,"Born in 1950 in Portsmouth, you spent parts of your childhood abroad as the child of a military family before studying English at the University of Bristol and completing a postgraduate degree at Lancaster University. You emerged in the mid-1970s with short stories noted for taut psychology and unsettling intimacy, then turned to novels that frame private lives within ethical and scientific dilemmas. Your prose is spare yet exacting; your narratives test responsibility, chance, and the consequences of secrecy. Alongside fiction you have written essays and screenplays and are a measured presence in public debate. Your work has earned the James Tait Black Memorial Prize and the Man Booker Prize.",Ian McEwan,1
Michael Ondaatje,"Born in 1945 in Kandy, Sri Lanka, you moved to London in your teens and by the mid-1960s made Toronto your home. Trained in literature, you began as a poet before turning to fiction and essays, while teaching and editing that helped cultivate new Canadian voices. Your work is marked by lyrical intensity, shifting perspectives, and a collage of history and memory that traces migrations, intimate violence, and fragile identity. You weave archival detail with a filmmaker’s eye for scene. Your books have earned the Commonwealth Writers’ Prize and the Trillium Book Award, and your influence endures across classrooms and festivals.",Michael Ondaatje,1
Heather O'Neill,"You were born in 1975 in Quebec City and raised in Montreal. After studying literature at Concordia University, you supported yourself with odd jobs while writing dispatches for the Montreal Gazette and essays for The Walrus and CBC Radio. Your 2005 debut novel brought national attention, followed by a short-story collection and continued work in magazines. Your fiction is marked by lyrical, incantatory prose, child and adolescent narrators, and a compassionate, unsentimental portrait of urban poverty and fragile family bonds, often touched by a quietly surreal imagination. You have received the Amazon.ca First Novel Award and the Quebec Writers’ Federation First Book Prize.",Heather O'Neill,1
Philip Roth,"You were born in 1934 in Elizabeth, New Jersey. Raised in a middle-class Jewish household, you studied literature at Rutgers and completed graduate work at Columbia, later teaching at Brandeis and New York University. You emerged in the early 1960s with audacious stories that scrutinized American identity and the uneasy bargains of assimilation. Over the decades, your novels, often voiced by self-questioning alter egos, braid corrosive comedy with moral seriousness, probing desire, illness, and the distortions of public scandal. Rooted in the urban Northeast yet restlessly national in scope, your work is formally agile and intellectually combative. You have received the National Book Critics Circle Award and the PEN/Faulkner Award.",Philip Roth,1
Jim Shepard,"You were born in 1957 in New Haven, Connecticut. After studying literature at Amherst College and earning an M.F.A. from the Iowa Writers’ Workshop, you began publishing novels and story collections on subjects from polar expeditions to nuclear testing. Your fiction is marked by meticulous research, spare, exacting sentences, and unsentimental empathy for people caught in the gears of history. Stories have appeared in Harper’s, The New Yorker, The Paris Review, and Best American Short Stories. You teach at Middlebury College, where you are known for rigorous seminars. Honors include a Guggenheim Fellowship and the Whiting Writers’ Award.",Andrea Barrett,0
MG Vassanji,"You were born in 1951 in Tanga, Tanzania, and raised in a Gujarati-speaking community. In the 1970s you left East Africa to study physics in the United States, completed a doctorate, and settled in Toronto, balancing research with the beginnings of a literary life. Since the late 1980s your novels have traced the migrations of East African Asians, the entanglements of memory and history, and the moral aftershocks of decolonization. Your prose is measured and archival, attentive to family lore and political rupture alike. You co-edited a forum for South Asian writing in Canada, and your work has earned the Rogers Writers’ Trust Fiction Prize and the Commonwealth Writers’ Prize.",M. G. Vassanji,1
